id,predicted_price
2591820310,382307.4
7974200820,880854.75
7701450110,1077989.0
9522300010,1449933.4
9510861140,772262.6
1761300310,240022.84
7732410120,784903.6
7010701383,634889.0
291310170,448243.84
4232901990,555681.3
6840701125,620987.25
3971700580,417423.62
4202400078,243031.27
6064800090,328985.7
2626119028,239163.02
3303980660,1114439.9
862000020,796922.8
2386000070,921792.5
1138000450,368315.56
1775800420,464298.25
2291401425,410812.94
2025770560,857630.75
3525069037,701793.06
9324800450,553110.2
8080400136,537429.8
8651540040,510313.38
9407001790,247586.52
1773101530,184511.6
9432900250,330602.28
1794500695,584532.44
2220069003,359825.72
923000120,485521.25
5728000060,536556.6
16000200,243763.84
1926059094,447113.3
6672900220,1049279.2
3629860060,855920.56
1822069109,419071.75
6675500105,384307.72
249000180,1778552.0
226059065,501116.84
396100110,266926.88
9264450460,335138.9
7853361210,373901.34
9474700020,279199.97
421000455,232325.47
3755200220,437954.66
7960100075,473674.3
9477100490,392808.72
9138100350,697789.5
1624049275,452033.56
2770606890,485613.88
1157200189,415102.88
2770601800,571871.25
9301300805,564009.06
2325069032,1226374.0
1021079099,360110.66
7215730040,746669.56
1853200080,476684.22
3224600340,699586.56
3222049120,421781.78
2113700025,278887.56
7893207925,215322.89
3586501085,549122.06
8024200010,409262.06
7116500705,176765.23
1598600209,318528.88
7204200025,733629.06
4206901505,553310.1
2937300440,927288.2
7205000180,334613.88
8718500665,365850.66
5318101765,904434.2
4122700020,965336.8
8078700020,500096.16
3303980680,1010163.25
8924100372,1151355.5
2781270210,213875.14
519000043,539085.25
3225069301,1259537.6
151000075,739052.4
2297400020,448039.12
6617500085,632413.2
104510180,235075.05
3528900060,983917.44
3345100286,542103.8
1226039130,443990.22
8712100720,763459.8
3037200010,380620.88
3626039268,428442.28
104510230,245325.22
5112800060,401731.8
6072400280,648297.06
5317100570,1076242.8
9528102993,482268.75
2919201095,472743.3
6181400920,250145.23
185000161,240093.36
8691400010,726142.9
3345700165,510841.2
6151800486,234648.14
4340000080,1267421.6
4136960010,549495.0
3634100030,338446.2
1624059224,1177084.2
2788400090,246441.17
9828200762,463306.56
7524400250,577267.5
3528000290,762620.06
5700003630,1638105.4
2720069019,306983.9
7227501170,234271.81
2397101270,613000.9
6792100090,702782.25
2770602265,555263.3
3971700937,296423.94
422049203,219157.64
3076500830,318881.16
1423400260,281190.47
9161100795,455609.78
3126049052,484757.84
5100401468,395115.97
514500235,466867.3
1423200170,189731.75
1402100070,410002.34
624110020,760330.4
2407000145,207441.8
1890000225,758621.75
1320069271,330372.22
5490700085,350130.38
263000155,472394.03
3726800201,421941.5
5153200358,305850.1
2725079018,767059.25
7165700200,263223.47
9429000170,592352.4
8718500075,379339.5
1760650950,306052.0
1068000559,1220993.0
4113800500,642738.06
4077800507,538833.94
2725069150,737310.0
4008400035,652943.2
7016310270,418045.1
1432701230,215847.38
3278606050,328396.06
2473350710,375196.9
2185000685,142093.86
7792000025,366658.94
6868200029,516933.34
624069003,779004.2
7431500280,832223.0
3296000040,556538.9
1118001215,1406912.8
6453900040,663598.2
333100209,774004.9
34001765,628396.56
8946700100,382567.1
5561401210,582384.56
6671900095,375323.6
3275850020,691356.3
3876300600,413776.44
1450900020,266233.34
8562780280,319108.1
7663700973,336246.62
2126049032,384867.4
1823059159,167396.22
3438503426,279080.97
9297301495,477092.2
7140700850,358069.97
7942601805,693413.9
2555900030,354383.3
2887970040,269114.6
7419700010,637249.25
2239000011,367950.1
9283800050,344114.16
9407001340,283312.38
217500140,532073.5
7212660520,242046.61
3298201170,339372.53
3057000400,290781.78
6865200444,482191.94
6071600340,496261.62
6821600005,704265.06
1235100371,685376.5
7796450340,344856.94
3603000410,174535.81
9297300255,519456.16
9126100850,492697.47
2770601462,496170.28
2599001500,218780.3
1102000095,842240.2
1853080640,925555.6
9551201585,918897.8
3438500796,325717.4
7518504291,541149.25
9269200340,374409.47
715010130,1525727.8
1982201485,590102.1
9526500080,395157.44
9277200180,456976.16
6669150280,290386.88
8917100153,600433.3
